30	37	PA	1730	27	1773	99	1362	143	1154	0	âˆ’3	âˆ’2	âˆ’12	+2	+5	+4	+20	+36	+184	+4	+34	594	201	228	165	197	252	145	743	915
31	38	US	1726	9	1890	41	1642	93	1410	âˆ’4	âˆ’21	âˆ’4	âˆ’21	+4	+14	âˆ’14	âˆ’59	âˆ’16	âˆ’71	âˆ’15	âˆ’43	827	489	253	85	367	287	173	1250	1077
32	42	UZ	1714	25	1766	59	1596	93	1428	âˆ’2	âˆ’14	âˆ’5	âˆ’21	+5	+20	+5	+45	+24	+144	+6	+64	367	130	129	108	180	112	75	636	402
33	43	SE	1712	2	2013	17	1795	54	1579	+9	+52	+9	+52	âˆ’9	âˆ’42	+1	+38	âˆ’27	âˆ’136	âˆ’17	âˆ’50	1120	490	500	130	549	336	235	2229	1487
34	48	EG	1696	12	1872	37	1662	70	1527	+5	+37	+18	+106	+2	+30	+3	+53	+14	+98	+2	+57	885	354	281	250	447	217	221	1546	923
35	49	CI	1695	15	1863	45	1640	76	1476	+9	+58	+12	+88	+16	+119	+4	+60	âˆ’1	+54	âˆ’11	âˆ’29	693	241	238	214	349	166	178	1132	696
36	52	JO	1680	40	1701	111	1324	153	1095	âˆ’4	âˆ’9	âˆ’2	+11	âˆ’1	+24	+11	+71	+33	+204	+23	+145	585	201	193	191	207	220	158	730	717
37	55	CD	1652	20	1782	62	1557	114	1387	+2	+13	+4	+36	+9	+69	+15	+99	+32	+178	+10	+83	549	166	225	158	226	172	151	836	643
38	59	TN	1628	24	1757	47	1616	87	1438	+2	+14	âˆ’4	âˆ’13	âˆ’1	+15	âˆ’14	âˆ’43	âˆ’12	âˆ’19	+14	+77	777	337	253	187	330	231	216	1105	845
39	60	IQ	1618	23	1740	47	1622	96	1456	+8	+36	+3	+20	+18	+100	âˆ’11	âˆ’41	âˆ’10	âˆ’12	+22	+114	761	139	232	390	360	189	212	1204	708
40	65	BA	1595	20	1806	53	1626	90	1469	+4	+23	+3	+23	+12	+69	+25	+119	âˆ’13	âˆ’33	âˆ’38	âˆ’166	281	118	136	27	104	111	66	394	386
41	68	CV	1578	65	1579	120	1302	146	1172	+4	+17	+4	+17	+10	+60	+3	+26	+27	+140	+16	+76	253	80	91	82	96	97	60	273	278
42	69	SA	1576	29	1736	76	1499	125	1253	âˆ’5	âˆ’16	âˆ’5	âˆ’21	âˆ’8	âˆ’32	âˆ’8	âˆ’38	âˆ’5	âˆ’4	+7	+49	839	324	151	364	396	247	196	1283	896
43	72	NZ	1562	29	1642	66	1500	102	1334	âˆ’5	âˆ’23	âˆ’5	âˆ’23	âˆ’13	âˆ’48	+4	+37	+10	+77	âˆ’2	+2	441	135	189	117	181	181	79	767	650
44	73	HT	1548	36	1673	81	1418	129	1265	+1	+6	+2	+6	âˆ’3	âˆ’9	+11	+47	âˆ’5	âˆ’17	+14	+63	563	181	196	186	247	198	118	962	761
45	80	ZA	1517	7	1847	32	1707	99	1448	âˆ’2	âˆ’11	âˆ’3	âˆ’13	âˆ’13	âˆ’52	âˆ’14	âˆ’62	+4	+39	âˆ’22	âˆ’85	526	276	161	89	231	141	154	720	543
46	81	GH	1510	10	1877	42	1651	101	1424	âˆ’1	+1	âˆ’1	+1	+6	+33	âˆ’6	âˆ’22	âˆ’21	âˆ’89	âˆ’32	âˆ’130	779	247	298	234	370	213	196	1248	823
47	91	CW	1434	26	1618	97	1381	188	1011	âˆ’4	âˆ’32	âˆ’3	âˆ’32	+37	+104	+27	+81	+5	+2	+77	+268	500	174	177	149	202	174	124	884	771
48	96	QA	1421	26	1771	93	1416	164	963	âˆ’4	âˆ’4	0	âˆ’4	âˆ’20	âˆ’109	âˆ’42	âˆ’208	âˆ’50	âˆ’233	âˆ’22	âˆ’117	699	328	147	224	289	233	177	993	826
