2026	06	05	CF	TG	1	1	F	MA	3	1241	1356	+1	âˆ’1	151	116
2026	06	05	GE	BH	2	0	F		4	1654	1414	0	0	55	100
2026	06	05	HK	MN	2	0	F		2	1123	726	+1	âˆ’1	168	216
2026	06	05	HU	FI	2	1	F		4	1707	1536	0	âˆ’1	45	76
2026	06	05	ID	OM	3	0	GRD		31	1362	1460	+12	âˆ’4	115	87
2026	06	05	MT	AZ	2	0	F	HU	19	1255	1321	+4	âˆ’7	149	128
2026	06	05	MD	BG	2	2	F		3	1265	1458	0	âˆ’1	148	88
2026	06	05	PY	NI	4	0	F		1	1834	1333	0	0	22	126
2026	06	05	PE	HT	2	1	F	US	6	1702	1548	+1	0	46	73
2026	06	05	RU	BF	3	0	F		4	1770	1526	+2	âˆ’1	29	78
2026	06	05	SM	BD	1	2	F		-10	826	942	âˆ’1	+2	207	194
2026	06	05	SA	PR	3	0	F	US	3	1569	1135	+1	+1	70	165
2026	06	05	SG	CN	1	2	F		-5	1134	1428	âˆ’2	+2	167	94
2026	06	05	SK	ME	2	2	F		-7	1667	1461	0	+2	53	86
2026	06	05	TJ	IN	3	1	F		6	1291	1122	+4	âˆ’1	139	169
2026	06	05	TH	KW	2	2	F		-4	1372	1332	âˆ’1	+1	110	127
2026	06	04	YE	LB	2	0	SQ	QA	44	1195	1288	+2	âˆ’14	160	141
2026	06	04	MV	PK	0	3	DJB		-35	801	847	âˆ’5	+5	210	204
2026	06	04	AD	LI	2	0	F		5	1081	899	0	âˆ’1	175	198
2026	06	04	KH	BT	4	0	F		5	849	632	0	0	203	228
2026	06	04	CZ	GT	3	1	F	US	7	1740	1507	+2	âˆ’2	35	82
2026	06	04	FR	CI	1	2	F		-19	2062	1695	0	+4	3	48
2026	06	04	IR	ML	2	0	F	TR	8	1772	1588	+3	âˆ’2	28	67
2026	06	04	KE	LS	1	1	F	ZA	-4	1352	1209	0	+2	116	156
2026	06	04	MX	RS	5	1	F		8	1875	1734	0	âˆ’1	18	36
2026	06	04	EI	GN	1	0	F	ES	6	1606	1463	0	âˆ’1	64	86
2026	06	04	SI	CY	1	1	F		-9	1685	1310	âˆ’3	+2	51	133
2026	06	04	ES	IQ	1	1	F		-10	2155	1618	0	+2	1	61
2026	06	04	SE	GR	2	2	F		-2	1712	1754	âˆ’1	0	42	34
2026	06	03	AL	IL	0	1	F		-13	1633	1647	âˆ’2	+2	58	56
2026	06	03	DK	CD	0	0	F	BE	-6	1864	1661	âˆ’2	0	20	54
2026	06	03	GI	VG	4	0	F		4	1006	723	+2	âˆ’1	184	218
2026	06	03	LU	IT	0	1	F		-3	1433	1859	0	0	90	21
2026	06	03	NL	DZ	0	1	F		-17	1944	1760	0	+2	8	32
2026	06	03	PA	DO	4	2	F		1	1734	1283	0	0	36	146
2026	06	03	PH	GU	5	1	FT		2	1170	717	0	0	161	219
2026	06	03	PL	NG	2	2	F		-1	1710	1770	0	+1	43	28
2026	06	03	KR	SV	1	0	F	US	2	1758	1340	âˆ’1	0	33	121
2026	06	02	BN	TL	0	3	SEQ		-41	592	714	âˆ’3	+5	232	220
2026	06	02	HR	BE	0	2	F		-22	1909	1889	âˆ’2	+1	12	17
2026	06	02	GE	RO	1	1	F		-3	1650	1630	0	0	55	60
2026	06	02	HT	NZ	4	0	F	US	22	1554	1563	+3	âˆ’4	73	72
2026	06	02	MA	MG	4	0	F		2	1824	1380	0	âˆ’1	24	107
